Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,High_Range,Price_Segment,Range_per_kWh,Price_per_km,Efficiency_Tier,Est_Revenue_2024,Era
Acura,ZDX (with GM Ultium),2015,Lithium-Titanate,55.8,214,Chademo,9.0,111203.94,Matte White,Uk,0,0.0,5.0,19726,3,0,Luxury (>$110K),3.835,519.64,Medium,2193608920.44,Early (2015-2018)
Lamborghini,Revuelto (PHEV),2025,Lithium-Titanate,90.8,212,Vehicle-To-Home (V2H),7.3,127131.65,White,Netherlands,2,0.0,4.0,3349,3,0,Luxury (>$110K),2.335,599.68,Low,425763895.84999996,Recent (2022-2025)
Nio,ET7,2020,Calcium-Ion,64.7,235,Level 2 Charging,8.9,94347.37,Beige,Uk,5,0.0,5.0,6300,5,0,Premium ($80K–$110K),3.632,401.48,Medium,594388431.0,Mid (2019-2021)
Audi,e-tron,2025,Lithium-Iron Phosphate,120.5,140,Ultra-Fast Charging (350 Kw+),10.5,75615.15,Sunset Orange,Argentina,2,0.0,5.0,2339,5,0,Mid ($50K–$80K),1.162,540.11,Low,176863835.85,Recent (2022-2025)
Acura,ZDX (with GM Ultium),2023,Lithium-Titanate,51.8,336,Plug-In Hydrogen Refueling,3.6,141046.94,Ice Silver,United Arab Emirates,2,0.0,3.0,1051,4,0,Luxury (>$110K),6.486,419.78,High,148240333.94,Recent (2022-2025)
Xpeng,G9,2016,Lithium-Iron Phosphate,138.7,390,Mobile Charging,2.9,89907.75,Ruby Red,Australia,3,0.0,5.0,8609,5,0,Premium ($80K–$110K),2.812,230.53,Medium,774015819.75,Early (2015-2018)
Jeep,Recon (upcoming),2024,Nickel-Cobalt-Aluminum,67.1,170,Vehicle-To-Load (V2L),1.5,35653.97,Orange,Sweden,5,0.0,4.0,12504,5,0,Budget (<$50K),2.534,209.73,Low,445817240.88,Recent (2022-2025)
Changan,Q05,2019,Lead-Acid,131.9,105,Ccs,8.3,94436.44,Bronze,Mexico,3,0.0,5.0,8630,5,0,Premium ($80K–$110K),0.796,899.39,Low,814986477.2,Mid (2019-2021)
Citroen,ë-C4,2023,Aluminum-Ion,33.8,420,Solar Charging,10.2,90919.55,Metallic Silver,Sweden,1,0.0,5.0,18,5,1,Premium ($80K–$110K),12.426,216.48,Top,1636551.9000000001,Recent (2022-2025)
Rimac,Nevera,2015,Solid-State,140.8,549,Solar Charging,3.3,58904.59,Matte Green,Uk,3,0.0,4.0,17455,3,1,Mid ($50K–$80K),3.899,107.29,Medium,1028179618.4499999,Early (2015-2018)
Volkswagen,ID.Buzz,2022,Lead-Acid,41.5,370,Vehicle-To-Grid (V2G),11.6,141469.62,Stealth Gray,Denmark,3,0.0,4.0,16959,4,0,Luxury (>$110K),8.916,382.35,Top,2399183285.58,Recent (2022-2025)
Jaguar,I-PACE,2018,Solid-State,64.0,401,Ultra-Fast Charging (350 Kw+),7.3,30862.9,Cosmic Purple,South Korea,0,0.0,4.0,7798,4,1,Budget (<$50K),6.266,76.96,High,240668894.20000002,Early (2015-2018)
Mini,Mini Cooper SE,2018,Lead-Acid,37.2,578,Vehicle-To-Load (V2L),3.3,86756.75,Tan,Denmark,3,0.0,4.0,15303,5,1,Premium ($80K–$110K),15.538,150.1,Top,1327638545.25,Early (2015-2018)
Bmw,iX3,2025,Flow Batteries,32.8,306,Mobile Charging,9.7,43112.28,Metallic Silver,Denmark,1,0.0,3.0,2470,4,0,Budget (<$50K),9.329,140.89,Top,106487331.6,Recent (2022-2025)
Faraday Future,FF 91,2015,Flow Batteries,149.9,528,Level 1 Charging,11.6,141164.04,Rose Gold,Belgium,3,0.0,3.0,5394,4,1,Luxury (>$110K),3.522,267.36,Medium,761438831.76,Early (2015-2018)
Tesla,Model Y,2019,Aluminum-Ion,121.9,332,Solar Charging,5.4,144878.12,Burgundy,United Arab Emirates,3,0.0,3.0,18978,5,0,Luxury (>$110K),2.724,436.38,Medium,2749496961.36,Mid (2019-2021)
Maserati,Grecale Folgore,2020,Lithium-Ion,26.5,344,Nacs,1.2,90939.42,Rose Gold,Norway,3,0.0,4.0,3928,5,0,Premium ($80K–$110K),12.981,264.36,Top,357210041.76,Mid (2019-2021)
Polestar,Polestar 2,2024,Solid-State,74.5,398,Mobile Charging,11.2,54511.1,Cosmic Purple,Hungary,3,0.0,4.0,10360,3,0,Mid ($50K–$80K),5.342,136.96,High,564734996.0,Recent (2022-2025)
Tesla,Model Y,2024,Zinc-Air,149.5,137,Inductive (Wireless) Charging,6.3,45894.79,Teal,China,2,0.0,5.0,9912,5,0,Budget (<$50K),0.916,335.0,Low,454909158.48,Recent (2022-2025)
Faraday Future,FF 91,2025,Calcium-Ion,92.1,577,Ccs,11.3,46114.93,Orange,France,1,0.0,5.0,11235,3,1,Budget (<$50K),6.265,79.92,High,518101238.55,Recent (2022-2025)
Skoda,Elroq (upcoming),2019,Lead-Acid,83.5,563,Level 2 Charging,1.6,80829.09,Bronze,Japan,3,0.0,4.0,5294,5,1,Premium ($80K–$110K),6.743,143.57,Top,427909202.46,Mid (2019-2021)
Geely,Emgrand EV,2021,Lead-Acid,21.3,138,Chademo,6.8,130151.4,Matte Blue,United Arab Emirates,3,0.0,3.0,11724,3,0,Luxury (>$110K),6.479,943.13,High,1525895013.6,Mid (2019-2021)
Skoda,Enyaq,2025,Solid-State,66.0,386,Vehicle-To-Grid (V2G),11.7,119937.31,Forest Green,Netherlands,1,0.0,4.0,10885,4,0,Luxury (>$110K),5.848,310.72,High,1305517619.35,Recent (2022-2025)
Faraday Future,FF 91,2019,Nickel-Metal Hydride,122.4,155,Plug-In Hydrogen Refueling,10.5,133031.19,Crimson Red,Denmark,3,0.0,3.0,7304,3,0,Luxury (>$110K),1.266,858.27,Low,971659811.76,Mid (2019-2021)
Mini,Mini Electric,2021,Sodium-Ion,56.2,135,Battery Swapping,4.5,91128.68,Sky Blue,Saudi Arabia,0,0.0,3.0,19024,4,0,Premium ($80K–$110K),2.402,675.03,Low,1733632008.32,Mid (2019-2021)
Chevrolet,Bolt EV,2024,Nickel-Cobalt-Aluminum,64.9,502,Mobile Charging,5.5,148108.3,Orange,India,1,0.0,3.0,17036,5,1,Luxury (>$110K),7.735,295.04,Top,2523172998.7999997,Recent (2022-2025)
Skoda,Elroq (upcoming),2025,Lithium-Iron Phosphate,67.3,135,Mobile Charging,7.7,109606.5,Orange,Poland,5,0.0,4.0,18166,3,0,Premium ($80K–$110K),2.006,811.9,Low,1991111679.0,Recent (2022-2025)
Lucid Motors,Lucid Gravity,2025,Nickel-Cobalt-Aluminum,108.1,562,Nacs,7.6,66113.98,Matte Gray,Usa,1,0.0,5.0,10559,4,1,Mid ($50K–$80K),5.199,117.64,High,698097514.8199999,Recent (2022-2025)
Geely,Geometry C,2025,Lithium-Iron Phosphate,86.5,506,Nacs,8.1,64054.37,Lime Green,Finland,1,0.0,3.0,4828,3,1,Mid ($50K–$80K),5.85,126.59,High,309254498.36,Recent (2022-2025)
Chevrolet,Bolt EUV,2022,Zinc-Air,130.5,137,Vehicle-To-Home (V2H),5.3,105571.85,Metallic Silver,India,1,0.0,3.0,13931,3,0,Premium ($80K–$110K),1.05,770.6,Low,1470721442.3500001,Recent (2022-2025)
Porsche,Cayenne Electric (upcoming),2015,Lead-Acid,52.4,534,Ccs,5.7,126169.99,Lime Green,South Africa,4,0.0,4.0,16540,4,1,Luxury (>$110K),10.191,236.27,Top,2086851634.6000001,Early (2015-2018)
Lamborghini,Lanzador (upcoming EV),2017,Lithium-Titanate,132.0,330,Battery Swapping,9.1,130783.55,Bronze,South Africa,1,0.0,4.0,9362,3,0,Luxury (>$110K),2.5,396.31,Low,1224395595.1000001,Early (2015-2018)
Toyota,Lexus RZ,2020,Aluminum-Ion,90.2,170,Chademo,3.2,113273.98,Cosmic Purple,Switzerland,3,0.0,4.0,2040,3,0,Luxury (>$110K),1.885,666.32,Low,231078919.2,Mid (2019-2021)
Li Auto,MEGA,2024,Lithium-Titanate,22.5,550,Plug-In Hydrogen Refueling,6.0,143129.0,Magenta,India,3,0.0,5.0,7226,4,1,Luxury (>$110K),24.444,260.23,Top,1034250154.0,Recent (2022-2025)
Volvo,EX30,2021,Nickel-Manganese-Cobalt,23.8,272,Plug-In Hydrogen Refueling,8.8,130860.68,Gray,Finland,3,0.0,3.0,14044,3,0,Luxury (>$110K),11.429,481.11,Top,1837807389.9199998,Mid (2019-2021)
Changan,SL03,2015,Lithium-Sulfur,69.3,208,Vehicle-To-Home (V2H),4.3,121347.56,Beige,Portugal,3,0.0,4.0,635,5,0,Luxury (>$110K),3.001,583.4,Medium,77055700.6,Early (2015-2018)
Maserati,Grecale Folgore,2020,Lithium-Iron Phosphate,104.5,499,Level 2 Charging,9.2,143953.41,Metallic Silver,Germany,1,0.0,5.0,7142,4,1,Luxury (>$110K),4.775,288.48,High,1028115254.22,Mid (2019-2021)
Seat,Avenger,2020,Nickel-Metal Hydride,98.8,593,Ccs,9.4,49651.9,Magenta,France,2,0.0,4.0,12997,5,1,Budget (<$50K),6.002,83.73,High,645325744.3000001,Mid (2019-2021)
Lucid Motors,Lucid Air,2024,Lithium-Titanate,128.0,224,Ccs,8.5,66189.92,Sky Blue,Ireland,4,0.0,4.0,12142,3,0,Mid ($50K–$80K),1.75,295.49,Low,803678008.64,Recent (2022-2025)
Mg,MG5 EV,2015,Calcium-Ion,74.6,350,Ccs,5.5,73462.56,Titanium,Australia,3,0.0,5.0,8850,5,0,Mid ($50K–$80K),4.692,209.89,High,650143656.0,Early (2015-2018)
Faraday Future,FF 91,2022,Nickel-Cobalt-Aluminum,127.3,403,Battery Swapping,4.2,59459.42,Green,Portugal,1,0.0,5.0,12418,4,1,Mid ($50K–$80K),3.166,147.54,Medium,738367077.56,Recent (2022-2025)
Nissan,Ariya,2020,Nickel-Metal Hydride,83.4,281,Battery Swapping,4.4,135638.4,Ice Silver,Portugal,4,0.0,4.0,13317,4,0,Luxury (>$110K),3.369,482.7,Medium,1806296572.8,Mid (2019-2021)
Lamborghini,Revuelto (PHEV),2022,Flow Batteries,112.5,329,Level 1 Charging,1.6,56591.57,Ice Silver,Belgium,4,0.0,4.0,13942,5,0,Mid ($50K–$80K),2.924,172.01,Medium,788999668.9399999,Recent (2022-2025)
Lamborghini,Lanzador (upcoming EV),2020,Lithium-Titanate,79.0,256,Battery Swapping,3.2,116554.12,Purple,Canada,5,0.0,4.0,9060,5,0,Luxury (>$110K),3.241,455.29,Medium,1055980327.1999999,Mid (2019-2021)
Jeep,Wagoneer S,2016,Calcium-Ion,45.2,216,Overhead Pantograph Charging,2.6,31697.8,Matte White,Italy,0,0.0,3.0,16085,3,0,Budget (<$50K),4.779,146.75,High,509859113.0,Early (2015-2018)
Tesla,Cybertruck,2019,Nickel-Manganese-Cobalt,82.2,274,Nacs,11.6,60297.41,Aurora Blue,Canada,3,0.0,5.0,1756,3,0,Mid ($50K–$80K),3.333,220.06,Medium,105882251.96000001,Mid (2019-2021)
Ford,E-Transit,2016,Lithium-Iron Phosphate,35.4,491,Vehicle-To-Grid (V2G),7.5,124888.9,Crimson Red,South Africa,3,0.0,4.0,10006,5,1,Luxury (>$110K),13.87,254.36,Top,1249638333.3999999,Early (2015-2018)
Gmc,Hummer EV Pickup,2024,Lithium-Titanate,32.9,490,Inductive (Wireless) Charging,7.7,61757.54,Green,Netherlands,4,0.0,4.0,14762,5,1,Mid ($50K–$80K),14.894,126.04,Top,911664805.48,Recent (2022-2025)
Cadillac,Celestiq,2019,Lithium-Ion,50.1,461,Solar Charging,8.6,84483.76,Sky Blue,Austria,5,0.0,3.0,13930,3,1,Premium ($80K–$110K),9.202,183.26,Top,1176858776.8,Mid (2019-2021)
Maserati,Grecale Folgore,2025,Nickel-Metal Hydride,138.1,523,Chademo,1.3,49910.73,Magenta,Ireland,4,0.0,4.0,9964,5,1,Budget (<$50K),3.787,95.43,Medium,497310513.72,Recent (2022-2025)
Xpeng,G9,2023,Lead-Acid,84.2,141,Level 2 Charging,10.7,118144.07,Gun Metal,Spain,3,0.0,5.0,19238,3,0,Luxury (>$110K),1.675,837.9,Low,2272855618.6600003,Recent (2022-2025)
Citroen,Ami,2019,Zinc-Air,25.2,487,Nacs,5.9,108181.14,Bronze,Norway,3,0.0,3.0,15401,4,1,Premium ($80K–$110K),19.325,222.14,Top,1666097737.14,Mid (2019-2021)
Li Auto,L9,2020,Flow Batteries,33.6,182,Mobile Charging,5.2,89456.28,Lime Green,Thailand,4,0.0,4.0,8270,4,0,Premium ($80K–$110K),5.417,491.52,High,739803435.6,Mid (2019-2021)
Jaguar,I-PACE,2023,Calcium-Ion,148.5,436,Vehicle-To-Home (V2H),5.3,52509.9,Turquoise,Finland,5,0.0,4.0,8750,5,1,Mid ($50K–$80K),2.936,120.44,Medium,459461625.0,Recent (2022-2025)
Volkswagen,ID.5,2022,Aluminum-Ion,110.8,162,Level 1 Charging,11.7,103064.6,Forest Green,Netherlands,0,0.0,4.0,3717,4,0,Premium ($80K–$110K),1.462,636.2,Low,383091118.20000005,Recent (2022-2025)
Jaguar,I-PACE,2022,Aluminum-Ion,113.2,360,Battery Swapping,5.3,87899.95,Aurora Blue,Belgium,1,0.0,5.0,4473,3,0,Premium ($80K–$110K),3.18,244.17,Medium,393176476.34999996,Recent (2022-2025)
Toyota,Lexus RZ,2020,Aluminum-Ion,122.4,236,Level 1 Charging,3.8,65826.7,Matte Blue,Israel,3,0.0,4.0,11309,4,0,Mid ($50K–$80K),1.928,278.93,Low,744434150.3,Mid (2019-2021)
Lamborghini,Lanzador (upcoming EV),2022,Aluminum-Ion,61.8,196,Ultra-Fast Charging (350 Kw+),7.1,58027.49,Navy Blue,Indonesia,3,0.0,4.0,12651,5,0,Mid ($50K–$80K),3.172,296.06,Medium,734105775.99,Recent (2022-2025)
Vinfast,VF 7,2022,Lithium-Ion,36.4,594,Mobile Charging,10.5,134902.84,Candy Apple Red,France,3,0.0,5.0,5058,3,1,Luxury (>$110K),16.319,227.11,Top,682338564.72,Recent (2022-2025)
Great Wall Motors,ORA Lightning Cat,2020,Zinc-Air,110.1,432,Dc Fast Charging (Dcfc),10.3,132280.96,Rose Gold,Saudi Arabia,2,0.0,4.0,17728,3,1,Luxury (>$110K),3.924,306.21,Medium,2345076858.8799996,Mid (2019-2021)
Gmc,Hummer EV Pickup,2018,Flow Batteries,109.0,247,Ultra-Fast Charging (350 Kw+),9.1,82076.58,Yellow,France,5,0.0,4.0,10629,3,0,Premium ($80K–$110K),2.266,332.29,Low,872391968.82,Early (2015-2018)
Mazda,Mazda EV (upcoming models),2020,Nickel-Cobalt-Aluminum,38.9,371,Vehicle-To-Grid (V2G),7.0,125102.34,Pearl White,Norway,3,0.0,3.0,16307,5,0,Luxury (>$110K),9.537,337.2,Top,2040043858.3799999,Mid (2019-2021)
Ford,F-150 Lightning,2022,Flow Batteries,53.0,230,Level 1 Charging,10.8,85830.39,Copper,Saudi Arabia,3,0.0,4.0,13903,5,0,Premium ($80K–$110K),4.34,373.18,High,1193299912.17,Recent (2022-2025)
Honda,Honda Prologue,2019,Lithium-Iron Phosphate,149.9,536,Vehicle-To-Load (V2L),1.7,75763.72,Teal,Singapore,5,0.0,5.0,12969,4,1,Mid ($50K–$80K),3.576,141.35,Medium,982579684.6800001,Mid (2019-2021)
Tesla,Cybertruck,2025,Magnesium-Ion,116.8,125,Vehicle-To-Load (V2L),10.1,138352.19,Navy Blue,Austria,2,0.0,4.0,4481,5,0,Luxury (>$110K),1.07,1106.82,Low,619956163.39,Recent (2022-2025)
Kia,Soul EV,2019,Magnesium-Ion,77.3,396,Overhead Pantograph Charging,8.9,40816.01,Copper,Hungary,1,0.0,4.0,17394,5,0,Budget (<$50K),5.123,103.07,High,709953677.94,Mid (2019-2021)
